,dbn,4yr_pct_ch,6yr_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
185,11X299,0.851955307,0.899188876,TRUE,X,0.779,0.018987342,-0.991646091,0.041666667,-0.025149701
186,11X418,0.735332464,0.980769231,TRUE,X,0.822,-0.135559921,-0.987649573,0.515151515,0.119278779
188,11X455,0.792401628,0.85915493,TRUE,X,0.785,0.136577708,-0.9868,0.057971014,0.08
189,11X513,1.007185629,0.981641469,TRUE,X,0.95,-0.089775561,-0.989354839,-0.092391304,-0.025641026
190,11X514,0.892913386,0.975935829,TRUE,X,0.805,-0.144927536,-0.990646388,0.017241379,0.107758621
191,11X542,1.096064815,1.066885965,TRUE,X,0.772,0.03125,-0.987574257,1.739130435,0.079096045
192,11X544,0.863970588,0.869249395,TRUE,X,0.911,-0.301158301,-0.991616162,1,0.137150466
193,11X545,1.149321267,1.019021739,TRUE,X,0.901,-0.349009901,-0.99200627,0.532258065,0.256975037
194,12X248,1.209183673,1.079646018,FALSE,X,0.95,-0.127795527,-0.98796875,0.214953271,0.032608696
195,12X251,0.844615385,0.963662791,TRUE,X,0.933,-0.120448179,-0.990076046,0.258241758,-0.050213675
196,12X267,0.804661487,0.745884774,TRUE,X,0.907,0.015296367,-0.989021277,-0.329032258,0.028138528
197,12X271,0.913793103,0.882075472,FALSE,X,0.943,0.062397373,-0.99006993,0.271028037,-0.015151515
198,12X388,0.799054374,1.049689441,TRUE,X,0.95,0.06234414,-0.990666667,-0.078472959,-0.028629857
199,12X446,0.824,0.969230769,TRUE,X,0.914,-0.225663717,-0.968181818,0.5,0.118686869
200,12X478,0.987817259,0.986815416,TRUE,X,0.872,0.116352201,-0.965666667,0.548387097,0.053416149
201,12X479,1.006779661,1.601214575,TRUE,X,0.947,-0.148606811,-0.988252788,0.151898734,0.004439512
202,12X480,1,0.888571429,TRUE,X,0.907,-0.282352941,-0.98296,-0.088235294,0.031877214
203,12X550,0.81865285,0.967503693,TRUE,X,0.95,0.085051546,inf,-0.094170404,-0.027635619
204,12X682,0.906849315,1.075880759,FALSE,X,0.925,-0.060851927,-0.989202899,0.322580645,0.144754316
205,12X684,1.033653846,1,FALSE,X,0.929,-0.262172285,-0.986315789,1.357142857,0.025316456
206,12X692,inf,0.841498559,FALSE,X,,,,,
207,13K265,0.911722142,0.928848642,TRUE,K,0.893,-0.401590457,-0.985763547,-0.318181818,0.003541913
208,13K350,0.563953488,0.69495695,TRUE,K,0.861,-0.510152284,-0.989078947,1,-0.042237443
209,13K412,0.861111111,0.945652174,TRUE,K,0.845,0.124688279,-0.9868,0.296296296,0.036781609
210,13K419,0.72565445,0.872483221,TRUE,K,0.778,0.100558659,-0.992804878,-0.5,0.004926108
211,13K430,1.010330579,0.991959799,FALSE,K,0.533,0.106632466,-0.987692308,-1,-0.093990755
212,13K439,1.128240109,1.018561485,TRUE,K,0.95,-0.014577259,-0.982352941,-0.00969697,0.171548117
213,13K483,0.925887265,0.99470339,TRUE,K,0.748,-0.008908686,-0.988979592,1,0.014397906
214,13K499,0.977991747,0.929824561,TRUE,K,,,,,
215,13K527,0.864444444,1.043526786,TRUE,K,0.831,-0.06496063,-0.989299363,3.1875,0.005868545
216,13K553,1.437869822,1.094430993,TRUE,K,0.897,-0.0875,-0.986708861,inf,0.003405221
217,13K595,0.955375254,0.961,FALSE,K,0.639,0.085872576,-0.986960784,-0.375,0.484346225
218,13K605,0.715367965,0.946731235,TRUE,K,0.782,0.072649573,-0.988647059,0.423076923,0
220,13K616,0.8,0.902723735,TRUE,K,0.89,-0.240343348,-0.984339623,-0.115384615,0.086624204
221,13K670,0.971399387,1.016563147,FALSE,K,0.707,-0.101433297,-0.969555556,inf,0.34352518
222,13K674,0.87251462,0.993637328,TRUE,K,0.665,-0.039911308,-0.990777202,-0.193548387,0.066757493
224,14K071,0.804347826,0.744911805,TRUE,K,0.938,-0.380462725,-0.989875,0.016194332,0.114690722
225,14K449,1.014373717,1.006036217,TRUE,K,0.568,0.326013514,-0.9845,-0.8,-0.139296188
226,14K454,0.596083231,0.897250362,TRUE,K,0.869,-0.054878049,-0.989170306,-0.240437158,-0.01050175
227,14K474,0.774151436,0.887135922,TRUE,K,0.924,-0.415512465,-0.987209302,0.443708609,0.029345372
228,14K477,0.577333333,0.787801779,TRUE,K,0.903,-0.546021841,-0.990432099,1.477941176,0.042889391
229,14K478,0.922403004,0.996458087,TRUE,K,0.855,-0.236220472,-0.988590604,0.529411765,0.099514563
230,14K488,0.79144385,0.838035528,TRUE,K,0.788,0.08793456,-0.991464646,-0.317073171,0.03253012
231,14K558,0.931818182,0.945492662,TRUE,K,0.731,0.013816926,-0.991541353,-0.590909091,-0.024213075
232,14K561,0.915625,0.951120163,TRUE,K,0.797,0.031296572,-0.986778523,0.333333333,-0.048959608
233,14K586,0.832872928,1.013513514,TRUE,K,0.92,-0.210622711,-0.988516949,-0.300813008,0.052995392
234,14K610,0.633286319,0.751617076,FALSE,K,0.83,-0.276190476,-0.989127726,-0.394736842,0.02375
235,14K685,0.987277354,1.266263238,FALSE,K,0.918,0.004444444,-0.989220183,0.4125,0.032825322
236,15K429,0.76765609,1.054120541,TRUE,K,0.783,0.036363636,-0.993461538,-0.884210526,-0.058688147
237,15K448,0.957541899,0.917103882,TRUE,K,0.672,-0.044776119,-0.991407186,-0.020408163,-0.103967168
238,15K462,0.89415656,0.945945946,TRUE,K,0.787,0.128534704,-0.98484127,1.166666667,-0.057074911
239,15K463,0.960305344,0.902380952,TRUE,K,0.819,-0.003690037,-0.99,0.160583942,-0.138826185
